State,County,Population,% 65 and over
New York,,19542209,16.4
New York,Albany,307117,17.0
New York,Allegany,46430,19.0
New York,Bronx,1432132,12.8
New York,Broome,191659,19.1
New York,Cattaraugus,76840,19.2
New York,Cayuga,77145,19.1
New York,Chautauqua,127939,20.1
New York,Chemung,84254,19.0
New York,Chenango,47536,20.4
New York,Clinton,80695,17.1
New York,Columbia,59916,23.8
New York,Cortland,47823,16.5
New York,Delaware,44527,24.5
New York,Dutchess,293718,17.6
New York,Erie,919719,17.9
New York,Essex,37300,23.4
New York,Franklin,50293,16.8
New York,Fulton,53591,19.6
New York,Genesee,57511,18.7
New York,Greene,47491,22.1
New York,Hamilton,4434,31.3
New York,Herkimer,61833,20.7
New York,Jefferson,111755,13.7
New York,Kings,2582830,13.9
New York,Lewis,26447,18.3
New York,Livingston,63227,17.9
New York,Madison,70795,18.3
New York,Monroe,742474,17.2
New York,Montgomery,49455,18.6
New York,Nassau,1358343,17.8
New York,New York,1628701,16.5
New York,Niagara,210433,19.1
New York,Oneida,229577,18.8
New York,Onondaga,461809,17.0
New York,Ontario,109864,19.9
New York,Orange,381951,14.0
New York,Orleans,40612,17.9
New York,Oswego,117898,16.3
New York,Otsego,59749,21.2
New York,Putnam,98892,17.4
New York,Queens,2278906,15.7
New York,Rensselaer,159442,17.0
New York,Richmond,476179,16.2
New York,Rockland,325695,15.7
New York,St. Lawrence,108047,17.4
New York,Saratoga,230163,18.1
New York,Schenectady,155350,17.1
New York,Schoharie,31097,21.9
New York,Schuyler,17912,21.3
New York,Seneca,34300,19.2
New York,Steuben,95796,19.7
New York,Suffolk,1481093,16.9
New York,Sullivan,75498,18.9
New York,Tioga,48560,20.3
New York,Tompkins,102793,14.5
New York,Ulster,178599,19.8
New York,Warren,64265,22.2
New York,Washington,61197,19.5
New York,Wayne,90064,18.9
New York,Westchester,967612,17.1
New York,Wyoming,40085,17.9
New York,Yates,24841,20.8
