"Geography","PopulationEstJuly2018","PopulationEstJuly2018_65plus"
"Geography","Population Estimate (as of July 1) - 2018 - Both Sexes; Total","Population Estimate (as of July 1) - 2018 - Both Sexes; 65 years and over"
"United States","327167434","52431193"
"Alabama","4887871","826894"
"Alaska","737438","87011"
"Arizona","7171646","1258250"
"Arkansas","3013825","511827"
"California","39557045","5669025"
"Colorado","5695564","808229"
"Connecticut","3572665","615121"
"Delaware","967171","181086"
"District of Columbia","702455","85303"
"Florida","21299325","4358071"
"Georgia","10519475","1460409"
"Hawaii","1420491","260967"
"Idaho","1754208","278282"
"Illinois","12741080","1992961"
"Indiana","6691878","1055021"
"Iowa","3156145","539830"
"Kansas","2911505","462241"
"Kentucky","4468402","730626"
"Louisiana","4659978","718433"
"Maine","1338404","275999"
"Maryland","6042718","931136"
"Massachusetts","6902149","1139100"
"Michigan","9995915","1716604"
"Minnesota","5611179","889802"
"Mississippi","2986530","474475"
"Missouri","6126452","1033964"
"Montana","1062305","198902"
"Nebraska","1929268","303666"
"Nevada","3034392","476181"
"New Hampshire","1356458","245645"
"New Jersey","8908520","1438527"
"New Mexico","2095428","366189"
"New York","19542209","3213534"
"North Carolina","10383620","1689265"
"North Dakota","760077","116637"
"Ohio","11689442","1995022"
"Oklahoma","3943079","619553"
"Oregon","4190713","738691"
"Pennsylvania","12807060","2335630"
"Rhode Island","1057315","182254"
"South Carolina","5084127","899915"
"South Dakota","882235","146854"
"Tennessee","6770010","1109697"
"Texas","28701845","3602320"
"Utah","3161105","350478"
"Vermont","626299","121207"
"Virginia","8517685","1315401"
"Washington","7535591","1164232"
"West Virginia","1805832","359878"
"Wisconsin","5813568","985473"
"Wyoming","577737","95375"
"Puerto Rico","3195153","661215"
